Source File;Source Tab;NWB;GPTS tribe name (Initiative name);Team (if applicable);Product/Application (agile products only);Reference Period;Contact Person;Comment;Customer facing Y/N;Deployment Frequency [# per quarter];Cycle Time [days];Change Failure Rate [%];Failed Deployments [#];MTTR [days];CICD Pipeline [%];Test Automation [%];DevOps Score;Quarter;Year
NWU1_Q1_2023.xlsx;Deployment Frequency;NWU1;Payments;Team Alpha;Card Services;Q1 2023;John Doe;;;15;0;16.67;1;0;0;0;0;;
NWU1_Q1_2023.xlsx;Deployment Frequency;NWU1;Lending;Team Beta;ATM Services;Q1 2023;John Doe;;;4;NaN;0;0;0;0;0;100;;
NWU1_Q1_2023.xlsx;Cycle Time for Changes;NWU1;Customer Experience;Team Beta;Account Management;Q1 2023;John Doe;;;0;NaN;0;0;0;0;75;0;;
NWU1_Q1_2023.xlsx;Cycle Time for Changes;NWU1;Customer Experience;Team Gamma;Online Banking Portal;Q1 2023;John Doe;;;0;NaN;16.67;1;0;100;78;0;;
NWU1_Q1_2023.xlsx;Change Failure Rate;NWU1;Core Banking;Team Alpha;Business Banking;Q1 2023;John Doe;;;0;0;0;0;3.62;0;0;0;;
NWU1_Q1_2023.xlsx;Mean Time to Repair;NWU1;Lending;Team Beta;Payment Gateway;Q1 2023;John Doe;;;0;0;0;0;1.71;0;0;100;;
NWU1_Q1_2023.xlsx;CICD Pipeline;NWU1;Core Banking;Team Beta;Customer Onboarding;Q1 2023;John Doe;;;0;0;0;0;0;100;43;0;;
NWU1_Q1_2023.xlsx;CICD Pipeline;NWU1;Customer Experience;Team Gamma;Mobile Banking App;Q1 2023;John Doe;;;0;0;0;0;0;0;0;0;;
NWU1_Q1_2024.xlsx;Deployment Frequency;NWU1;Customer Experience;Team Alpha;Account Management;Q1 2024;John Doe;;;3;0;0;0;2.42;0;0;0;;
NWU1_Q1_2024.xlsx;Deployment Frequency;NWU1;Core Banking;Team Beta;Loan Processing System;Q1 2024;John Doe;;;17;NaN;0;0;2.48;0;45;0;;
NWU1_Q1_2024.xlsx;Deployment Frequency;NWU1;Customer Experience;Team Gamma;Mobile Banking App;Q1 2024;John Doe;;;2;NaN;0;0;0;0;0;0;;
NWU1_Q1_2024.xlsx;Cycle Time for Changes;NWU1;Core Banking;Team Alpha;Business Banking;Q1 2024;John Doe;;;0;NaN;0;0;0;0;0;0;;
NWU1_Q1_2024.xlsx;Change Failure Rate;NWU1;Digital Banking;Team Alpha;ATM Services;Q1 2024;John Doe;;;0;0;25;7;0;0;0;0;;
NWU1_Q1_2024.xlsx;Change Failure Rate;NWU1;Payments;Team Beta;Online Banking Portal;Q1 2024;John Doe;;;0;0;15.79;3;0;0;0;100;;
NWU1_Q1_2024.xlsx;Change Failure Rate;NWU1;Lending;Team Gamma;Wealth Management;Q1 2024;John Doe;;;0;0;21.43;3;0;0;0;0;;
NWU1_Q1_2024.xlsx;Mean Time to Repair;NWU1;Customer Experience;Team Alpha;Payment Gateway;Q1 2024;John Doe;;;0;0;0;0;3.56;0;0;0;;
NWU1_Q1_2024.xlsx;CICD Pipeline;NWU1;Payments;Team Alpha;Customer Onboarding;Q1 2024;John Doe;;;0;0;0;0;0;100;19;0;;
NWU1_Q1_2024.xlsx;DevOps;NWU1;Core Banking;Team Alpha;Card Services;Q1 2024;John Doe;;;0;0;0;0;0;0;0;0;;
NWU1_Q2_2023.xlsx;Deployment Frequency;NWU1;Payments;Team Alpha;ATM Services;Q2 2023;John Doe;;;19;0;0;0;0;0;49;0;;
NWU1_Q2_2023.xlsx;Deployment Frequency;NWU1;Customer Experience;Team Beta;Online Banking Portal;Q2 2023;John Doe;;;14;NaN;0;0;1.35;100;0;0;;
NWU1_Q2_2023.xlsx;Deployment Frequency;NWU1;Payments;Team Gamma;Account Management;Q2 2023;John Doe;;;14;NaN;0;0;4.93;0;0;0;;
NWU1_Q2_2023.xlsx;Cycle Time for Changes;NWU1;Core Banking;Team Gamma;Mobile Banking App;Q2 2023;John Doe;;;0;NaN;0;0;0;0;0;0;;
NWU1_Q2_2023.xlsx;Change Failure Rate;NWU1;Core Banking;Team Alpha;Card Services;Q2 2023;John Doe;;;0;0;12.5;1;0;0;28;0;;
NWU1_Q2_2023.xlsx;Change Failure Rate;NWU1;Core Banking;Team Beta;Wealth Management;Q2 2023;John Doe;;;0;0;15.79;3;0;0;0;0;;
NWU1_Q2_2023.xlsx;Mean Time to Repair;NWU1;Digital Banking;Team Beta;Loan Processing System;Q2 2023;John Doe;;;0;0;0;0;1.55;0;0;0;;
NWU1_Q2_2023.xlsx;Test automation;NWU1;Lending;Team Gamma;Customer Onboarding;Q2 2023;John Doe;;;0;0;0;0;0;0;26;0;;
NWU1_Q2_2023.xlsx;DevOps;NWU1;Payments;Team Beta;Payment Gateway;Q2 2023;John Doe;;;0;0;0;0;0;0;0;100;;
NWU1_Q2_2024.xlsx;Deployment Frequency;NWU1;Customer Experience;Team Alpha;Card Services;Q2 2024;John Doe;;;18;NaN;0;0;0;0;79;0;;
NWU1_Q2_2024.xlsx;Deployment Frequency;NWU1;Payments;Team Beta;Customer Onboarding;Q2 2024;John Doe;;;9;0;0;0;4.89;0;58;0;;
NWU1_Q2_2024.xlsx;Deployment Frequency;NWU1;Core Banking;Team Gamma;Payment Gateway;Q2 2024;John Doe;;;18;0;0;0;0.16;0;0;0;;
NWU1_Q2_2024.xlsx;Cycle Time for Changes;NWU1;Customer Experience;Team Alpha;Loan Processing System;Q2 2024;John Doe;;;0;NaN;0;0;2.27;0;0;0;;
NWU1_Q2_2024.xlsx;Cycle Time for Changes;NWU1;Digital Banking;Team Beta;Wealth Management;Q2 2024;John Doe;;;0;NaN;0;0;0;0;0;0;;
NWU1_Q2_2024.xlsx;Change Failure Rate;NWU1;Digital Banking;Team Alpha;ATM Services;Q2 2024;John Doe;;;0;0;27.27;3;0;0;83;0;;
NWU1_Q2_2024.xlsx;Change Failure Rate;NWU1;Digital Banking;Team Beta;Account Management;Q2 2024;John Doe;;;0;0;0;0;0;100;0;0;;
NWU1_Q2_2024.xlsx;Change Failure Rate;NWU1;Core Banking;Team Gamma;Mobile Banking App;Q2 2024;John Doe;;;0;0;20;1;0;0;0;0;;
NWU1_Q2_2024.xlsx;CICD Pipeline;NWU1;Customer Experience;Team Beta;Online Banking Portal;Q2 2024;John Doe;;;0;0;0;0;0;100;0;100;;
NWU1_Q3_2023.xlsx;Deployment Frequency;NWU1;Payments;Team Alpha;Payment Gateway;Q3 2023;John Doe;;;9;NaN;0;0;2.21;0;0;0;;
NWU1_Q3_2023.xlsx;Deployment Frequency;NWU1;Payments;Team Beta;Loan Processing System;Q3 2023;John Doe;;;13;0;0;0;0;0;0;0;;
NWU1_Q3_2023.xlsx;Deployment Frequency;NWU1;Core Banking;Team Gamma;Card Services;Q3 2023;John Doe;;;10;0;6.67;1;0.73;0;0;0;;
NWU1_Q3_2023.xlsx;Cycle Time for Changes;NWU1;Payments;Team Alpha;Mobile Banking App;Q3 2023;John Doe;;;0;NaN;0;0;0;0;0;100;;
NWU1_Q3_2023.xlsx;Change Failure Rate;NWU1;Customer Experience;Team Gamma;Customer Onboarding;Q3 2023;John Doe;;;0;0;12.5;1;0;0;62;0;;
NWU1_Q3_2023.xlsx;CICD Pipeline;NWU1;Core Banking;Team Alpha;Business Banking;Q3 2023;John Doe;;;0;0;0;0;0;0;0;100;;
NWU1_Q3_2023.xlsx;CICD Pipeline;NWU1;Digital Banking;Team Gamma;Wealth Management;Q3 2023;John Doe;;;0;0;0;0;0;0;0;0;;
NWU1_Q3_2023.xlsx;Test automation;NWU1;Customer Experience;Team Beta;ATM Services;Q3 2023;John Doe;;;0;0;0;0;0;0;62;0;;
NWU1_Q3_2023.xlsx;DevOps;NWU1;Customer Experience;Team Gamma;Account Management;Q3 2023;John Doe;;;0;0;0;0;0;0;0;100;;
NWU1_Q3_2024.xlsx;Deployment Frequency;NWU1;Digital Banking;Team Alpha;Business Banking;Q3 2024;John Doe;;;16;0;16.67;1;0;0;0;0;;
NWU1_Q3_2024.xlsx;Deployment Frequency;NWU1;Payments;Team Beta;Account Management;Q3 2024;John Doe;;;17;0;0;0;0;0;39;0;;
NWU1_Q3_2024.xlsx;Deployment Frequency;NWU1;Customer Experience;Team Gamma;Loan Processing System;Q3 2024;John Doe;;;12;0;20.69;6;0;0;0;0;;
NWU1_Q3_2024.xlsx;Cycle Time for Changes;NWU1;Digital Banking;Team Alpha;Card Services;Q3 2024;John Doe;;;0;NaN;0;0;1.08;0;0;100;;
NWU1_Q3_2024.xlsx;Cycle Time for Changes;NWU1;Core Banking;Team Beta;Online Banking Portal;Q3 2024;John Doe;;;0;NaN;0;0;0;100;31;0;;
NWU1_Q3_2024.xlsx;Cycle Time for Changes;NWU1;Customer Experience;Team Gamma;Payment Gateway;Q3 2024;John Doe;;;0;NaN;0;0;0;0;42;0;;
NWU1_Q3_2024.xlsx;Mean Time to Repair;NWU1;Payments;Team Alpha;Wealth Management;Q3 2024;John Doe;;;0;0;0;0;3.49;100;0;0;;
NWU1_Q3_2024.xlsx;Mean Time to Repair;NWU1;Digital Banking;Team Gamma;Customer Onboarding;Q3 2024;John Doe;;;0;0;0;0;3.05;0;0;0;;
NWU1_Q3_2024.xlsx;CICD Pipeline;NWU1;Digital Banking;Team Alpha;Mobile Banking App;Q3 2024;John Doe;;;0;0;0;0;0;100;0;0;;
NWU1_Q4_2023.xlsx;Deployment Frequency;NWU1;Lending;Team Alpha;Account Management;Q4 2023;John Doe;;;3;0;0;0;0;0;0;0;;
NWU1_Q4_2023.xlsx;Deployment Frequency;NWU1;Payments;Team Beta;Mobile Banking App;Q4 2023;John Doe;;;16;0;0;0;0;0;0;0;;
NWU1_Q4_2023.xlsx;Deployment Frequency;NWU1;Digital Banking;Team Gamma;Business Banking;Q4 2023;John Doe;;;16;NaN;4.35;1;0.5;0;0;0;;
NWU1_Q4_2023.xlsx;Cycle Time for Changes;NWU1;Payments;Team Alpha;Wealth Management;Q4 2023;John Doe;;;0;NaN;0;0;0;0;0;100;;
NWU1_Q4_2023.xlsx;Change Failure Rate;NWU1;Core Banking;Team Beta;Online Banking Portal;Q4 2023;John Doe;;;0;0;8.33;1;0;0;0;100;;
NWU1_Q4_2023.xlsx;Mean Time to Repair;NWU1;Customer Experience;Team Beta;Loan Processing System;Q4 2023;John Doe;;;0;0;0;0;3.06;0;0;0;;
NWU1_Q4_2023.xlsx;CICD Pipeline;NWU1;Customer Experience;Team Alpha;ATM Services;Q4 2023;John Doe;;;0;0;0;0;0;100;58;0;;
NWU1_Q4_2023.xlsx;Test automation;NWU1;Digital Banking;Team Alpha;Card Services;Q4 2023;John Doe;;;0;0;0;0;0;0;22;0;;
NWU1_Q4_2023.xlsx;Test automation;NWU1;Core Banking;Team Gamma;Payment Gateway;Q4 2023;John Doe;;;0;0;0;0;0;0;35;0;;
NWU1_Q4_2023.xlsx;DevOps;NWU1;Customer Experience;Team Beta;Customer Onboarding;Q4 2023;John Doe;;;0;0;0;0;0;0;0;0;;
NWU1_Q4_2024.xlsx;Deployment Frequency;NWU1;Core Banking;Team Alpha;Online Banking Portal;Q4 2024;John Doe;;;3;0;0;0;0;0;0;0;;
NWU1_Q4_2024.xlsx;Deployment Frequency;NWU1;Payments;Team Beta;Card Services;Q4 2024;John Doe;;;4;0;18.52;5;0;0;70;0;;
NWU1_Q4_2024.xlsx;Cycle Time for Changes;NWU1;Customer Experience;Team Alpha;Customer Onboarding;Q4 2024;John Doe;;;0;NaN;28.57;4;0;0;0;0;;
NWU1_Q4_2024.xlsx;Cycle Time for Changes;NWU1;Lending;Team Beta;Payment Gateway;Q4 2024;John Doe;;;0;NaN;0;0;0;0;85;0;;
NWU1_Q4_2024.xlsx;Change Failure Rate;NWU1;Customer Experience;Team Alpha;Account Management;Q4 2024;John Doe;;;0;0;8.33;1;0;0;0;0;;
NWU1_Q4_2024.xlsx;Mean Time to Repair;NWU1;Digital Banking;Team Alpha;ATM Services;Q4 2024;John Doe;;;0;0;0;0;2.51;0;0;0;;
NWU1_Q4_2024.xlsx;Mean Time to Repair;NWU1;Customer Experience;Team Beta;Mobile Banking App;Q4 2024;John Doe;;;0;0;0;0;4.45;0;0;100;;
NWU1_Q4_2024.xlsx;Mean Time to Repair;NWU1;Digital Banking;Team Gamma;Wealth Management;Q4 2024;John Doe;;;0;0;0;0;2.91;0;0;0;;
NWU2_Q1_2023.xlsx;Deployment Frequency;NWU2;Payments;Team Delta;Online Banking Portal;Q1 2023;John Doe;;;6;0;3.7;1;0;0;0;0;;
NWU2_Q1_2023.xlsx;Deployment Frequency;NWU2;Customer Experience;Team Epsilon;Wealth Management;Q1 2023;John Doe;;;3;0;0;0;0;0;0;0;;
NWU2_Q1_2023.xlsx;Cycle Time for Changes;NWU2;Payments;Team Delta;Card Services;Q1 2023;John Doe;;;0;NaN;0;0;0;100;0;0;;
NWU2_Q1_2023.xlsx;Cycle Time for Changes;NWU2;Customer Experience;Team Epsilon;Loan Processing System;Q1 2023;John Doe;;;0;NaN;25;3;0;0;0;0;;
NWU2_Q1_2023.xlsx;Mean Time to Repair;NWU2;Customer Experience;Team Delta;Account Management;Q1 2023;John Doe;;;0;0;0;0;0.52;0;72;100;;
NWU2_Q1_2023.xlsx;Mean Time to Repair;NWU2;Lending;Team Epsilon;Mobile Banking App;Q1 2023;John Doe;;;0;0;0;0;0.19;0;0;0;;
NWU2_Q1_2023.xlsx;Test automation;NWU2;Payments;Team Epsilon;ATM Services;Q1 2023;John Doe;;;0;0;0;0;0;0;32;0;;
NWU2_Q1_2024.xlsx;Deployment Frequency;NWU2;Digital Banking;Team Delta;Wealth Management;Q1 2024;John Doe;;;4;0;0;0;4.65;0;0;0;;
NWU2_Q1_2024.xlsx;Deployment Frequency;NWU2;Core Banking;Team Epsilon;Online Banking Portal;Q1 2024;John Doe;;;13;0;0;0;0;0;0;100;;
